date,player,team,salary,batting_order,blended_rating,attack_conf,actual_dk_pts
2026-07-08,Elias Diaz,Texas Rangers,2700,8,59.8,79.2636815920398,-1.0
2026-07-08,Luke Keaschall,Minnesota Twins,3000,7,39.1,40.0,12.5
2026-07-08,Jonny Deluca,Tampa Bay Rays,3700,5,45.3,53.80474934036939,-0.5
2026-07-08,Dansby Swanson,Chicago Cubs,3600,9,50.0,64.0,4.5
2026-07-08,Joe Mack,Miami Marlins,2800,8,44.1,53.05729877216916,-0.5
2026-07-08,Josh Smith,Texas Rangers,2000,2,60.1,85.22950819672131,2.0
2026-07-08,Masyn Winn,St. Louis Cardinals,3500,1,48.8,62.52567975830816,6.5
2026-07-08,Nick Loftin,Kansas City Royals,2900,7,52.2,70.62402088772846,7.0
2026-07-08,Brett Baty,New York Mets,2700,8,45.2,58.083056478405325,8.5
2026-07-08,Sungmun Song,San Diego Padres,2600,9,34.0,36.0,16.0
2026-07-08,David Fry,Cleveland Guardians,3100,1,37.1,42.48241912798875,-1.0
2026-07-08,Jose Tena,Washington Nationals,2700,8,57.2,83.0,1.5
2026-07-08,Alex Bregman,Chicago Cubs,4000,2,44.6,59.177842565597665,2.0
2026-07-08,Chandler Simpson,Tampa Bay Rays,3500,6,39.6,50.51090342679127,8.0
2026-07-08,Josh Lowe,Los Angeles Angels,2200,9,33.6,38.919093851132686,9.0
2026-07-08,Gabriel Arias,Cleveland Guardians,2200,6,28.8,30.815709969788514,-0.5
2026-07-08,Justin Crawford,Philadelphia Phillies,3200,7,39.9,53.0,21.5
2026-07-08,Lourdes Gurriel,Arizona Diamondbacks,2900,6,38.2,49.924914675767916,4.5
2026-07-08,Jahmai Jones,Detroit Tigers,3000,8,43.0,59.630630630630634,-0.5
2026-07-08,Brice Matthews,Houston Astros,3000,7,34.8,54.99490662139219,9.5
2026-07-09,Mike Trout,Los Angeles Angels,5000,2,102.2,100.0,3.0
2026-07-09,Ketel Marte,Arizona Diamondbacks,5000,1,94.3,100.0,-0.5
2026-07-09,Cooper Pratt,Milwaukee Brewers,2900,8,92.2,100.0,9.5
2026-07-09,Jordan Walker,St. Louis Cardinals,5200,4,92.2,100.0,17.0
2026-07-09,Garrett Mitchell,Milwaukee Brewers,3300,1,84.7,100.0,4.0
2026-07-09,Riley Greene,Detroit Tigers,3000,4,83.6,99.99763872491145,-1.0
2026-07-09,Luis Campusano,San Diego Padres,2900,7,76.6,87.10176125244618,4.0
2026-07-09,Randy Arozarena,Seattle Mariners,5100,2,79.2,98.42648845686513,20.0
2026-07-09,Kyle Karros,Colorado Rockies,2700,2,78.7,99.17955112219451,1.5
2026-07-09,Rafael Devers,San Francisco Giants,3700,4,64.1,72.56449553001278,15.5
2026-07-09,Otto Lopez,Miami Marlins,4300,2,71.4,88.32286995515695,18.0
2026-07-09,Heriberto Hernandez,Miami Marlins,3500,5,76.0,100.0,2.0
2026-07-09,Jake Mccarthy,Colorado Rockies,4100,1,66.2,84.1588785046729,1.0
2026-07-09,Victor Bericoto,San Francisco Giants,2200,7,52.9,60.328903654485046,-1.0
2026-07-09,Alejandro Osuna,Texas Rangers,2400,9,40.7,43.6979969183359,6.5
2026-07-09,Sungmun Song,San Diego Padres,2600,9,42.0,52.0,-1.0
2026-07-09,Leo Jimenez,Miami Marlins,2100,9,38.3,44.90459363957598,10.0
2026-07-09,Josh Lowe,Los Angeles Angels,2200,6,35.2,40.19292604501608,-1.0
2026-07-09,Colby Thomas,Athletics,2800,1,37.2,47.34796238244514,-0.5
2026-07-09,Justin Crawford,Philadelphia Phillies,3200,9,39.7,52.91251885369533,5.0
2026-07-09,Lourdes Gurriel,Arizona Diamondbacks,2900,6,43.7,63.47169811320755,3.0
2026-07-17,Ben Rice,New York Yankees,5900,2,115.0,100.0,8.0
2026-07-17,James Wood,Washington Nationals,6200,1,109.0,100.0,11.0
2026-07-17,Elly De La Cruz,Cincinnati Reds,3000,1,81.4,80.81168057210965,25.0
2026-07-17,Jonathan Aranda,Tampa Bay Rays,4100,2,90.2,100.0,-1.0
2026-07-17,Cooper Pratt,Milwaukee Brewers,2900,7,81.2,85.94736842105263,-0.5
2026-07-17,Sal Stewart,Cincinnati Reds,3000,2,77.7,82.01970443349754,10.5
2026-07-17,Spencer Steer,Cincinnati Reds,3000,4,75.9,78.84779706275033,29.5
2026-07-17,Seiya Suzuki,Chicago Cubs,4600,2,73.8,75.0110974106042,8.5
2026-07-17,Kazuma Okamoto,Toronto Blue Jays,3400,3,76.4,83.60406091370558,4.0
2026-07-17,Luis Campusano,San Diego Padres,2900,9,76.3,83.48447204968944,2.0
2026-07-17,Curtis Mead,Washington Nationals,5000,2,84.3,100.0,31.5
2026-07-17,Taylor Ward,Baltimore Orioles,4600,3,78.2,88.33780160857908,17.5
2026-07-17,Randy Arozarena,Seattle Mariners,5100,2,77.7,93.41050119331742,-0.5
